"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @colormymood: forest lush https://t.co/rV8ghNsyws",FALSE,0,NA,2016-11-13 00:06:58,FALSE,NA,"797591547613159425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UrChemicRmance",512,TRUE,FALSE,NA,NA
"今回のエグゼイドでひいろ先生の過去とか甘いもの好きのこととか明かされましたが、次回予告のくじょうきりやに私の心が掻っ攫われていった。
次回が楽しみすぎてもだもだするしかない。
まったく、罪深い奴め！！",FALSE,0,NA,2016-11-13 00:06:54,FALSE,NA,"797591532219940868",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_forest_in",0,FALSE,FALSE,NA,NA
"RT @NabaButterfly: Common Checkered-Skipper photographed by Curtis A. Lehman at Forest Hills in Allegheny County, Pennsylvania... https://t…",FALSE,0,NA,2016-11-13 00:06:53,FALSE,NA,"797591529401548804",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","silverhodge",1,TRUE,FALSE,NA,NA
"RT @WakeFB: Gameday Links - WF vs. LOU
Video: (ESPN2) https://t.co/J89MU8URel
Audio: https://t.co/3nDQusMR8X
Stats: https://t.co/uYWYcTJsrw…",FALSE,0,NA,2016-11-13 00:06:51,FALSE,NA,"797591521080000512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grace_V17",3,TRUE,FALSE,NA,NA
"RT @NabaButterfly: Common Checkered-Skipper photographed by Curtis A. Lehman at Forest Hills in Allegheny County, Pennsylvania … https://t.…",FALSE,0,NA,2016-11-13 00:06:51,FALSE,NA,"797591520652181504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","silverhodge",2,TRUE,FALSE,NA,NA
"RT @ympkyw: ゆぎおでスケートできそうなのダントツで海馬くん https://t.co/9iCad1J2SK",FALSE,0,NA,2016-11-13 00:06:51,FALSE,NA,"797591519175712768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","forest_of_elf2",87,TRUE,FALSE,NA,NA
"Wake Forest wins the toss and defers to the second quarter.  Cardinals to receive the ball first in blackout game.  #WFvLOU",FALSE,0,NA,2016-11-13 00:06:51,FALSE,NA,"797591517875597312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheSkyBoat",0,FALSE,FALSE,NA,NA
"@4_ichi_forest 네에..! (﹡֦ƠωƠ֦﹡) 이치요정님 상냥해..!",FALSE,0,"4_ichi_forest",2016-11-13 00:06:47,FALSE,"797591276933693444","797591501060476928","775539464743510018","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","celedark1",0,FALSE,FALSE,NA,NA
"Malik Williams with a nice return. Cards start at 35 https://t.co/tUqW4dNSM2 via @courierjournal",FALSE,0,NA,2016-11-13 00:06:42,FALSE,NA,"797591482421145600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SteveJones_CJ",0,FALSE,FALSE,NA,NA
"RT @brysontlIler: TRAPSOUL and 2014 Forest Hills Drive both went platinum with no features. https://t.co/vTWzeCB8a7",FALSE,0,NA,2016-11-13 00:06:41,FALSE,NA,"797591475747950592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kiran1love",6704,TRUE,FALSE,NA,NA
"Time to watch my #CARDS!!!!! #LYEAH!! — watching Wake Forest Demon Deacons vs Louisville Cardinals",FALSE,0,NA,2016-11-13 00:06:38,FALSE,NA,"797591466226962432",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Dawn0411",0,FALSE,FALSE,NA,NA
"@rusalie_forest 
寝顔撮って本人達に送りつければ？（）",FALSE,0,"rusalie_forest",2016-11-13 00:06:35,FALSE,"797589676123045888","797591451714494464","717393661617549312","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasasagi1414",0,FALSE,FALSE,NA,NA
"こいいろえなじーおどるかなでさんかわいすぎた",FALSE,0,NA,2016-11-13 00:06:34,FALSE,NA,"797591447587299328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Coral_Forest_",0,FALSE,FALSE,NA,NA
"Read The Forest Daily! https://t.co/ncD6HmfnSi Thanks to @UNCCD @GreenSchoolsAll #cop22 #climatehope https://t.co/mcmQBhxa80",FALSE,0,NA,2016-11-13 00:06:33,FALSE,NA,"797591444773027840",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","S_Keilani",0,FALSE,FALSE,NA,NA
"I hope Louisville shows no mercy against wake forest",FALSE,0,NA,2016-11-13 00:06:33,FALSE,NA,"797591443690975232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shireman_STF",0,FALSE,FALSE,NA,NA
"@intlspectator inb4 the tree huggers go into the forest and cry some more.",FALSE,1,"intlspectator",2016-11-13 00:06:32,FALSE,"797589764232728576","797591441446932485","1626294277","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeepFu",0,FALSE,FALSE,NA,NA
"i love the forest because the animals interact with me and i feel like i belong",FALSE,0,NA,2016-11-13 00:06:32,FALSE,NA,"797591439198785536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noturavggirl3",0,FALSE,FALSE,NA,NA
"Read The Forest Daily! https://t.co/ncD6HmfnSi Thanks to @UNCCD @GreenSchoolsAll #cop22 #climatehope",FALSE,0,NA,2016-11-13 00:06:28,FALSE,NA,"797591423096852480",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","S_Keilani",0,FALSE,FALSE,NA,NA
"RT @laurenfree: Forest pup https://t.co/i5f8jSFKF0",FALSE,0,NA,2016-11-13 00:06:28,FALSE,NA,"797591422719430656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julianmachann",1,TRUE,FALSE,NA,NA
"RT @UofLFootball: Wake Forest won the toss and deferred to the second half. UofL elected to receive to start the game.",FALSE,0,NA,2016-11-13 00:06:28,FALSE,NA,"797591422362849280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrendanScone",2,TRUE,FALSE,NA,NA
"The Enchanted Forest https://t.co/flk2iw8BPe",FALSE,0,NA,2016-11-13 00:06:27,FALSE,NA,"797591418567032832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","majestybelles",0,FALSE,FALSE,NA,NA
"OK, ready to go here at Papa John's Cardinal Stadium ... Live commentary and updates for Louisville-Wake right here. https://t.co/jmtI0N99al",FALSE,1,NA,2016-11-13 00:06:23,FALSE,NA,"797591401462525952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeffgreer_cj",0,FALSE,FALSE,NA,NA
"I liked a @YouTube video https://t.co/33YKA7c5xj The Forest | KÖY KURUYORUZ! - Bölüm 2",FALSE,0,NA,2016-11-13 00:06:18,FALSE,NA,"797591383313973253",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","kaansolak210",0,FALSE,FALSE,NA,NA
"ミニオンコーデ������

映画も観たことないのにって感じですが…

今度DVDレンタルしてきて観ます

とにかくUSJ行きて������������ https://t.co/S1IYbDIoRA",FALSE,0,NA,2016-11-13 00:06:14,FALSE,NA,"797591365253091328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FOREST_SIREN",0,FALSE,FALSE,NA,NA
"RT @Game_Edged: The Forest | EP62 | Virginia Visits, Big Base Build #TheForest #IndieDev #IndieGame https://t.co/xgOO6yqfgV",FALSE,0,NA,2016-11-13 00:06:13,FALSE,NA,"797591362044563457",NA,"<a href=""http://www.sfxworks.net"" rel=""nofollow"">quantom_bot</a>","QuantomBot",1,TRUE,FALSE,NA,NA
"RT @ExploreVSCO: The forest is a magical place ������������ https://t.co/G2B5EyyWtg",FALSE,0,NA,2016-11-13 00:06:13,FALSE,NA,"797591360727617536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bittersweet_98",707,TRUE,FALSE,NA,NA
"RT @AmericanForests: Find out the latest in forest news in this week’s #ForestDigest! https://t.co/LZQj7tn2Rg https://t.co/3DIIMqAkgn",FALSE,0,NA,2016-11-13 00:06:12,FALSE,NA,"797591357212819456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","silverhodge",3,TRUE,FALSE,NA,NA
"RT @AIEGamingClub: RT + Seguir @AIEGamingClub para entrar en el SORTEO
de estas dagas ""BOREAL FOREST""! El sorteo termina el 20/11/16 https:…",FALSE,0,NA,2016-11-13 00:06:07,FALSE,NA,"797591336639692800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustAQuick87",887,TRUE,FALSE,NA,NA
"RT @Pikassbutt: Down in the forest, we'll sing a chorus, one that everybody knows, hands held higher, we'll be on fire, singing songs that…",FALSE,0,NA,2016-11-13 00:06:04,FALSE,NA,"797591323897462784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","clemisdrowning",1,TRUE,FALSE,NA,NA
"Really shiny gold helmets for Wake Forest.  Christmas ornament looking",FALSE,0,NA,2016-11-13 00:06:04,FALSE,NA,"797591321531863044",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UofLSheriff50",0,FALSE,FALSE,NA,NA
"RT @AmericanForests: This week's #RecSpotlight is Colville National Forest in WA w/1.1M acres of #forest for hiking, camping, lots of winte…",FALSE,0,NA,2016-11-13 00:06:03,FALSE,NA,"797591318868463616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","silverhodge",6,TRUE,FALSE,NA,NA
"RT @filmf__: 【腐向け・ヴィク勇】YOIログ① | sinba #pixiv https://t.co/ZS9vT7HbYl อันนี้งานดีมาก",FALSE,0,NA,2016-11-13 00:06:02,FALSE,NA,"797591315785519108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","master8_forest",1,TRUE,FALSE,NA,NA
"RT @UofLFootball: Wake Forest won the toss and deferred to the second half. UofL elected to receive to start the game.",FALSE,0,NA,2016-11-13 00:06:00,FALSE,NA,"797591305853530113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeremy_CSZ",2,TRUE,FALSE,NA,NA
"Vintage Linden Black Forest Germany Alarm Shelf Clock Working https://t.co/OWITgDnwcz Last Second OutBid ↺RT, Favorite, Share",FALSE,0,NA,2016-11-13 00:06:00,FALSE,NA,"797591305304113152",NA,"<a href=""http://www.youbidder.com/?"" rel=""nofollow"">Let's Help Ebayers N</a>","youbiddernancy",0,FALSE,FALSE,NA,NA
"RT @BEAUTIFULPlCS: May the forest be with you ������������ https://t.co/z1lREFvGWJ",FALSE,0,NA,2016-11-13 00:06:00,FALSE,NA,"797591304578310144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byfahpnp",63,TRUE,FALSE,NA,NA
"Wake Forest is gonna shut down Lamar Jackson because Dave Clawson",FALSE,0,NA,2016-11-13 00:05:59,FALSE,NA,"797591301663375360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IanKenyonNFL",0,FALSE,FALSE,NA,NA
"RT @scrimmageplay: Final, Woodberry Forest 34, Episcopal 21. Tigers take 116th edition of The Game in coach Clint Alexander's final game wi…",FALSE,0,NA,2016-11-13 00:05:59,FALSE,NA,"797591300094750720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MilesMThompson1",6,TRUE,FALSE,NA,NA
"Hot blonde Michelle Honeywell fucked in forest https://t.co/lHhPUC6lxz",FALSE,0,NA,2016-11-13 00:05:57,FALSE,NA,"797591294382116864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xgeirys4",0,FALSE,FALSE,NA,NA
"Get a plane with filled with water &amp; drop it overhead like a forest fire! @WayneDupreeShow @TheDonaldNews… https://t.co/ZtfCPj8KCN",FALSE,0,NA,2016-11-13 00:05:57,TRUE,NA,"797591292083601408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","debe101",0,FALSE,FALSE,NA,NA
"Stunning Celtic Cross Discovered in the Middle of Irish Forest  https://t.co/IoPmQXewcw",FALSE,0,NA,2016-11-13 00:05:55,FALSE,NA,"797591286459101184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FumagalliBenny",0,FALSE,FALSE,NA,NA
"To focus on the Comey letters is to miss the forest for the trees. It's the whole frame evoked by this one word: 'e… https://t.co/VhFJbxSe6M",FALSE,0,NA,2016-11-13 00:05:55,TRUE,NA,"797591284160614400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","strongthomas",0,FALSE,FALSE,NA,NA
