"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@5_jushi_forest 응. 잘 부탁드림다. 쥬시마츠, 좋은 오후. 숲에서도 야구, 하고 있으려나.",FALSE,0,"5_jushi_forest",2016-11-13 05:34:22,FALSE,"797672790153248768","797673944010526721","775541934995574784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Benign_ichi",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/797384259795230721/nRIv-NGP_normal.jpg"
"RT @brysontlIler: TRAPSOUL and 2014 Forest Hills Drive both went platinum with no features. https://t.co/vTWzeCB8a7",FALSE,0,NA,2016-11-13 05:34:20,FALSE,NA,"797673932270800896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ybarragabs",6731,TRUE,FALSE,NA,NA,"W/ Rene","en","http://pbs.twimg.com/profile_images/797546156234522625/g5Ygd0Zv_normal.jpg"
"RT @Electric_Forest: The Forest misses you. https://t.co/VI7f7LD8vO",FALSE,0,NA,2016-11-13 05:34:13,FALSE,NA,"797673906085752833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camxkenzie",241,TRUE,FALSE,NA,NA,"halloweentown ","en","http://pbs.twimg.com/profile_images/794756565760966657/NvBEqPJc_normal.jpg"
"some analysis after Louisville's win over Wake Forest. Recap here: https://t.co/ZtOxjEqGni https://t.co/PL6lNKcfiU",FALSE,0,NA,2016-11-13 05:34:13,FALSE,NA,"797673905083318273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sam_Draut",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/663563232611713024/HkNa_ynS_normal.jpg"
"RT @bunkerodriguez: #NosotrasNosOrganizamos  Viernes 18/N 19 hs (Forest 888): ""Chacarita Contra La Violencia De Género"". #NiUnaMenos #Liber…",FALSE,0,NA,2016-11-13 05:34:10,FALSE,NA,"797673892689178624",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","chechamerchan",3,TRUE,FALSE,NA,NA,"Córdoba (Argentina)","es","http://pbs.twimg.com/profile_images/624283635542269953/UaJZezgP_normal.jpg"
"@ELVERBUGO 참고로 클리어 해서 임무 새로고침하는건 어떤 클래스여도 상관없음.",FALSE,0,"forest_bear_",2016-11-13 05:34:05,FALSE,"797673761310810112","797673872476647425","749772610909589504","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","forest_bear_",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/752514196684705792/pYWAqPqA_normal.jpg"
"forest (perro de mi cuñado) es hermoooso, es como un peluche gigante con vida, da más cariño que cualquiera������",FALSE,0,NA,2016-11-13 05:33:48,FALSE,NA,"797673800921915392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bernardeau_",0,FALSE,FALSE,NA,NA,"San Rafael, Mza","es","http://pbs.twimg.com/profile_images/787514967163633664/3k9VhRz-_normal.jpg"
"RT @colormymood: forest lush https://t.co/rV8ghNsyws",FALSE,0,NA,2016-11-13 05:33:45,FALSE,NA,"797673784786513924",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeySilva16",527,TRUE,FALSE,NA,NA,"snap:beysilva2","en","http://pbs.twimg.com/profile_images/774756776340230144/yU89YA96_normal.jpg"
"#Louisville's come-from-behind rout of Wake Forest. Photos so close, you'll think you're celebrating with the team.… https://t.co/GAkauew3VM",FALSE,6,NA,2016-11-13 05:33:44,TRUE,NA,"797673781103824896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattstonephotog",4,FALSE,FALSE,NA,NA,"Louisville, Kentucky","en","http://pbs.twimg.com/profile_images/732624516812296192/cB_t3DwD_normal.jpg"
"RT @UofLFootball: NEWS: Brandon Radcliff's 3 TDs, @UofLFootball's fourth-quarter surge helps Cardinals rout Wake Forest. #L1C4 https://t.co…",FALSE,0,NA,2016-11-13 05:33:41,FALSE,NA,"797673769942810624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kyle_Stefanick",19,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/796140370291814400/_NVLVtY3_normal.jpg"
"@ELVERBUGO 그게 퀘가 돌고 돌아서 그럼. 거기 있는거중에 하나 깨거나 아까 말했던 금강거북 알 주으러 가면 됨",FALSE,0,"ELVERBUGO",2016-11-13 05:33:39,FALSE,"797673548122726400","797673761310810112","3034484606","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","forest_bear_",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/752514196684705792/pYWAqPqA_normal.jpg"
